modelCode,companyName,productId,productUrl,productName,listPrice,salePrice,shippingFee,optionPrice
MODEL-003,디스플레이룸,10920893463,https://smartstore.naver.com/ohbuy/products/10920893463,모듈 수납장 철제 가구 거실 미드센츄리 모듈장 조립식 거실장 [S급/고급형] VA1,808000,538000,0,0
MODEL-003,LBB,11709492576,https://smartstore.naver.com/lbbstudio/products/11709492576,LBB modular C Type 2x1-1모듈가구,800000,720000,99000,0
MODEL-005,디스플레이룸,13009572955,https://smartstore.naver.com/ohbuy/products/13009572955,모듈수납장 S급 고급형 미드센츄리 모듈장 캐비닛 VG1,1158000,838000,0,0
MODEL-005,LBB,10523140708,https://smartstore.naver.com/lbbstudio/products/10523140708,LBB모듈러 B Type 3x1 x1 모듈가구,1368000,1231200,99000,0
MODEL-007,디스플레이룸,13009551602,https://smartstore.naver.com/ohbuy/products/13009551602,모듈 수납장 S급 철제 모듈가구 거실 미드센츄리 고급형 VA2,1298000,968000,0,0
MODEL-007,홈츠라이프,8560040352,https://smartstore.naver.com/homezlife/products/8560040352,저가형 비교불가 고급형 모듈 거실장 철제수납장 모듈가구 2단 서랍장 D타입 화이트,1400000,1399000,100000,0
MODEL-007,LBB,11107325874,https://smartstore.naver.com/lbbstudio/products/11107325874,LBB modular C Type 2x2 1 모듈가구,1487500,1338750,99000,0
MODEL-008,디스플레이룸,13009596725,https://smartstore.naver.com/ohbuy/products/13009596725,모듈 수납장 모듈가구 거실장 장식장 틈새장 철제 미드센츄리 S급 고급형 VE2,1628000,1338000,0,0
MODEL-009,디스플레이룸,12279039373,https://smartstore.naver.com/ohbuy/products/12279039373,모듈 수납장 가구 철제 거실장 미드센츄리 거실 조립식 틈새 [S급 고급형] VG2,2078000,1478000,0,0
MODEL-010,디스플레이룸,13532006024,https://smartstore.naver.com/ohbuy/products/13532006024,거실티비장 모듈 수납장 TV장 깊이50 제작 미드센츄리 철제 S급 고급형,1978000,1678000,0,0
MODEL-013,LBB,7363657109,https://smartstore.naver.com/lbbstudio/products/7363657109,LBBmodular AType 1x4 모듈가구,2740000,2466000,99000,0
MODEL-014,LBB,11296120208,https://smartstore.naver.com/lbbstudio/products/11296120208,LBB modular 홈오피스 책상 모듈가구,1740000,1566000,99000,0
